delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,cost_per_km,total_delivery_time_minutes,cost_per_minute,satisfaction_per_pound,customer_id,is_high_risk,override_intensity,has_proof_issue,service_quality_score
DL00001,O00938,D004,V056,H05,2024-06-18 10:57:00,2024-06-19 09:05:59.904311,Failed,17.26,1,0,3.07,12.05,0.6981460023174971,1328.9984051833333,0.009066978525333686,0.25477178423236513,C0567,1,0.057937427578215524,0,62.25
DL00002,O00004,D138,V007,H02,2025-01-11 18:45:00,2025-01-11 17:39:00.000000,OnTime,10.34,1,0,5.0,13.41,1.2969052224371374,-66.0,,0.37285607755406414,C0520,0,0.09671179883945842,0,98.85
DL00003,O00639,D006,V049,H02,2025-06-02 20:39:00,2025-06-02 21:45:32.366770,OnTime,7.92,0,0,4.98,8.51,1.0744949494949494,66.53944616666666,0.12789406119618615,0.5851938895417157,C0480,1,0.0,0,99.88
DL00004,O00313,D116,V055,H02,2024-03-08 23:31:00,2024-03-09 23:30:08.103702,Delayed,16.42,0,0,4.18,13.62,0.8294762484774664,1439.1350617,0.0094640179108076,0.3069016152716593,C0616,0,0.0,0,69.88
DL00005,O00844,D108,V034,H01,2025-09-21 11:43:00,2025-09-21 15:45:34.131056,OnTime,14.52,1,0,4.18,9.22,0.6349862258953168,242.56885093333332,0.03800982675444173,0.4533622559652928,C0276,0,0.06887052341597796,0,94.06
DL00006,O00029,D037,V098,H03,2024-09-11 12:40:00,2024-09-12 17:11:52.384869,Delayed,13.84,0,0,1.57,9.58,0.6921965317919075,1711.87308115,0.005596209266614765,0.1638830897703549,C0366,0,0.0,0,53.56
DL00007,O00097,D151,V037,H07,2024-01-09 13:41:00,2024-01-10 23:39:11.072850,Delayed,32.72,0,0,4.64,17.7,0.5409535452322738,2038.1845475,0.0086841988973523,0.2621468926553672,C0303,0,0.0,0,72.75
DL00008,O00207,D082,V066,H03,2024-08-22 21:34:00,2024-08-22 23:22:21.531162,OnTime,7.16,1,0,3.76,11.66,1.6284916201117319,108.3588527,0.10760542133351694,0.3224699828473413,C0023,0,0.13966480446927373,0,90.59
DL00009,O00297,D088,V029,H05,2024-04-12 21:33:00,2024-04-13 01:18:52.673288,OnTime,40.23,1,0,3.7,15.78,0.39224459358687547,225.87788813333333,0.06986075587303717,0.23447401774397975,C0560,1,0.02485707183693761,0,91.58
DL00010,O00836,D058,V057,H08,2025-09-22 19:09:00,2025-09-23 01:15:29.151459,Failed,9.85,1,0,3.2,9.31,0.9451776649746194,366.48585765,0.025403435918913964,0.34371643394199786,C0186,1,0.10152284263959391,0,62.54
DL00011,O00202,D074,V117,H04,2024-02-02 03:09:00,2024-02-02 02:29:05.367622,OnTime,13.85,0,0,4.36,15.17,1.0953068592057762,-39.910539633333336,,0.2874093605800923,C0449,0,0.0,0,96.0
DL00012,O01207,D051,V017,H05,2024-12-26 19:41:00,2024-12-27 09:26:05.387672,Failed,16.96,3,0,,16.98,1.0011792452830188,825.0897945333334,0.020579578262271202,,C0197,1,0.17688679245283018,0,60.4
DL00013,O01031,D105,V085,H04,2025-01-26 08:29:00,2025-01-26 10:33:30.834127,OnTime,6.01,2,0,3.96,11.52,1.9168053244592347,124.51390211666667,0.0925197893903126,0.34375,C0578,1,0.3327787021630616,0,89.55
DL00014,O00725,D102,V008,H05,2024-05-07 12:40:00,2024-05-07 20:50:43.795700,OnTime,16.46,0,0,3.67,11.74,0.7132442284325637,490.7299283333333,0.023923545971350428,0.3126064735945485,C0153,1,0.0,0,91.69
DL00015,O00394,D067,V056,H04,2024-08-16 22:47:00,2024-08-17 08:15:56.080634,OnTime,26.58,3,0,4.47,21.64,0.8141459744168549,568.9346772333333,0.03803600108404877,0.2065619223659889,C0479,0,0.11286681715575622,0,95.35
DL00016,O01220,D010,V091,H08,2025-06-12 01:47:00,2025-06-12 04:51:00.780258,OnTime,18.25,1,0,5.0,12.61,0.690958904109589,184.0130043,0.06852776545858504,0.39651070578905634,C0006,0,0.0547945205479452,0,99.35
DL00017,O01249,D002,V008,H05,2024-08-25 18:26:00,2024-08-26 03:05:42.086626,Delayed,20.79,0,0,1.0,15.62,0.7513227513227513,519.7014437666667,0.030055717926796833,0.06402048655569782,C0572,0,0.0,0,50.0
DL00018,O00611,D011,V001,H01,2025-07-29 10:52:00,2025-07-29 09:54:19.874248,OnTime,13.67,0,0,4.46,16.18,1.1836137527432333,-57.668762533333336,,0.27564894932014833,C0374,0,0.0,0,96.62
DL00019,O01167,D026,V004,H06,2024-06-25 23:58:00,2024-06-26 07:52:41.272083,OnTime,16.35,4,0,4.97,13.97,0.854434250764526,474.68786805,0.029429865265755025,0.3557623478883321,C0336,1,0.24464831804281342,0,96.91
DL00020,O00054,D157,V065,H01,2025-03-29 12:59:00,2025-03-29 14:40:37.791408,OnTime,24.31,0,0,4.15,12.61,0.5187165775401069,101.6298568,0.12407771099014281,0.3291038858049168,C0478,0,0.0,0,94.69
