"event_type","device_type","zone_context","total_events","events_without_order","avg_api_latency_ms","max_api_latency_ms","failed_events","failure_rate_pct"
"search_route","Android","South",17,2,439.47,840,0,0
"track_order","Android","North",12,3,406.42,629,0,0
"track_order","Android","West",12,1,374.92,655,0,0
"delivery_instruction_update","Android","East",11,3,416.82,1005,0,0
"search_route","iOS","Airport",11,4,522.64,1046,0,0
"track_order","Android","East",11,3,403.45,794,0,0
"chat_opened","Android","Central",10,2,535.7,1462,0,0
"eta_refresh","Android","Central",10,3,470.8,1103,0,0
"search_route","Android","Central",10,4,430.8,602,0,0
"chat_opened","Android","North",9,3,421.22,712,0,0
"chat_opened","Android","West",9,1,319.67,708,0,0
"delivery_instruction_update","iOS","Riverside",9,1,480.22,886,0,0
"eta_refresh","Android","North",9,1,386.56,648,0,0
"payment_retry","Android","South",9,3,548.44,865,3,33.33
"track_order","Android","Central",9,1,492.56,901,0,0
"track_order","iOS","Airport",9,0,599.33,1660,0,0
"track_order","iOS","East",9,1,411,598,0,0
"eta_refresh","Android","East",8,1,511.5,758,0,0
"eta_refresh","Android","Riverside",8,2,501,880,0,0
"eta_refresh","iOS","West",8,2,396.13,564,0,0
"track_order","Android","Riverside",8,3,491.38,838,0,0
"track_order","iOS","Riverside",8,2,378.38,553,0,0
"chat_opened","iOS","Airport",7,3,735.43,1468,0,0
"eta_refresh","Android","Airport",7,1,595.43,1148,0,0
"eta_refresh","Android","West",7,2,414.86,695,0,0
"eta_refresh","iOS","Central",7,1,495.29,662,0,0
"eta_refresh","iOS","North",7,2,472.29,792,0,0
"payment_retry","iOS","Riverside",7,3,424.71,715,2,28.57
"search_route","iOS","East",7,0,487.71,780,0,0
"track_order","iOS","South",7,2,426.29,763,0,0
"track_order","iOS","West",7,4,347.57,642,0,0
"chat_opened","Android","Airport",6,1,563.67,1690,0,0
"chat_opened","iOS","East",6,1,370.5,436,0,0
"chat_opened","iOS","North",6,0,655.5,944,0,0
"delivery_instruction_update","Android","South",6,1,505,569,0,0
"delivery_instruction_update","iOS","South",6,1,449.83,760,0,0
"eta_refresh","iOS","East",6,0,328.67,805,0,0
"payment_retry","Android","Central",6,1,530.67,1558,0,0
"search_route","Android","North",6,2,568.17,746,0,0
"search_route","Android","West",6,1,488.5,609,0,0
"track_order","Android","Airport",6,1,578.67,998,0,0
"track_order","Web","Airport",6,2,944.5,1633,0,0
"track_order","iOS","North",6,1,384.83,546,0,0
"chat_opened","Android","East",5,2,500.2,669,0,0
"chat_opened","Android","South",5,2,314.4,552,0,0
"chat_opened","iOS","Riverside",5,1,586,720,0,0
"chat_opened","iOS","South",5,2,299.2,442,0,0
"delivery_instruction_update","Android","North",5,1,464.4,850,0,0
"delivery_instruction_update","Android","West",5,0,433.2,897,0,0
"eta_refresh","Android","South",5,1,303,627,0,0
"payment_retry","Android","North",5,0,529.8,820,2,40
"payment_retry","iOS","Airport",5,0,647.6,1701,1,20
"search_route","Android","East",5,1,333,632,0,0
"search_route","iOS","Central",5,1,453.6,718,0,0
"track_order","Android","South",5,1,587.4,854,0,0
"track_order","Web","South",5,3,486,810,0,0
"track_order","Web","West",5,0,420.8,605,0,0
"chat_escalated","Android","North",4,1,481.75,624,3,75
"chat_opened","iOS","Central",4,1,504.5,770,0,0
"chat_opened","iOS","West",4,1,515.25,1007,0,0
"delivery_instruction_update","Android","Airport",4,3,712.25,863,0,0
"eta_refresh","Web","West",4,1,453.25,772,0,0
"payment_retry","Android","East",4,3,420.5,491,1,25
"payment_retry","Android","Riverside",4,1,236.25,404,2,50
"payment_retry","Android","West",4,0,438.25,862,3,75
"payment_retry","iOS","Central",4,1,504,752,1,25
"payment_retry","iOS","East",4,0,487.5,609,1,25
"search_route","Android","Airport",4,0,524.75,1035,0,0
"search_route","Web","North",4,1,309,627,0,0
"search_route","Web","South",4,1,515.75,757,0,0
"search_route","iOS","West",4,0,526,724,0,0
"track_order","Web","Riverside",4,1,267.25,584,0,0
"track_order","iOS","Central",4,2,453,836,0,0
"cancel_attempt","Android","Airport",3,1,582.67,1039,0,0
"cancel_attempt","Android","Riverside",3,0,367,481,0,0
"cancel_attempt","Android","South",3,1,265.67,619,0,0
"cancel_attempt","iOS","Riverside",3,2,294.33,477,0,0
"cancel_attempt","iOS","West",3,1,499.33,551,0,0
"chat_escalated","Android","Central",3,1,239,387,2,66.67
"chat_escalated","Android","Riverside",3,1,567.33,1138,3,100
"chat_escalated","iOS","Central",3,0,608,1402,2,66.67
"chat_escalated","iOS","South",3,2,197,313,1,33.33
"chat_opened","Android","Riverside",3,1,476,649,0,0
"delivery_instruction_update","Android","Central",3,1,974.67,1218,0,0
"delivery_instruction_update","Android","Riverside",3,1,448.67,838,0,0
"delivery_instruction_update","iOS","Airport",3,1,704.33,1285,0,0
"delivery_instruction_update","iOS","Central",3,0,377.67,792,0,0
"delivery_instruction_update","iOS","East",3,1,573,729,0,0
"delivery_instruction_update","iOS","North",3,0,514.67,741,0,0
"eta_refresh","Web","North",3,0,307.67,609,0,0
"eta_refresh","Web","Riverside",3,1,350.33,753,0,0
"eta_refresh","iOS","Riverside",3,1,447.33,542,0,0
"search_route","iOS","North",3,1,244.33,524,0,0
"cancel_attempt","Android","Central",2,0,634,712,0,0
"cancel_attempt","Android","West",2,0,584,831,0,0
"cancel_attempt","Web","Airport",2,1,371,392,0,0
"cancel_attempt","Web","South",2,0,203,233,0,0
"chat_escalated","Android","East",2,0,734.5,982,1,50
"chat_escalated","Android","West",2,0,936.5,1074,0,0
"chat_escalated","Web","Central",2,1,865,998,2,100
"chat_escalated","Web","Riverside",2,0,356.5,431,0,0
"chat_escalated","iOS","East",2,0,437.5,610,0,0
"chat_escalated","iOS","Riverside",2,1,308,401,0,0
"chat_escalated","iOS","West",2,1,283.5,324,0,0
"chat_opened","Web","South",2,0,134.5,172,0,0
"delivery_instruction_update","Web","Airport",2,0,566,811,0,0
"delivery_instruction_update","Web","Riverside",2,1,306.5,553,0,0
"delivery_instruction_update","Web","West",2,1,409.5,420,0,0
"delivery_instruction_update","iOS","West",2,0,505,763,0,0
"eta_refresh","Web","Central",2,1,723.5,1285,0,0
"eta_refresh","Web","South",2,2,630,731,0,0
"eta_refresh","iOS","Airport",2,0,354.5,462,0,0
"eta_refresh","iOS","South",2,0,542,690,0,0
"payment_retry","Android","Airport",2,0,258.5,265,0,0
"payment_retry","Web","Airport",2,1,729,881,0,0
"payment_retry","Web","East",2,1,509,550,0,0
"payment_retry","Web","North",2,0,558.5,566,0,0
"payment_retry","Web","Riverside",2,1,343,626,1,50
"payment_retry","Web","West",2,0,532,696,0,0
"payment_retry","iOS","South",2,1,170,280,0,0
"payment_retry","iOS","West",2,0,292.5,432,1,50
"search_route","Android","Riverside",2,0,318.5,401,0,0
"search_route","Web","Airport",2,0,679,1265,0,0
"search_route","Web","Central",2,0,423,535,0,0
"search_route","iOS","Riverside",2,1,446,536,0,0
"search_route","iOS","South",2,1,443,813,0,0
"track_order","Web","East",2,0,347.5,562,0,0
"track_order","Web","North",2,0,527.5,628,0,0
"cancel_attempt","Android","North",1,0,60,60,0,0
"cancel_attempt","Web","Central",1,1,618,618,0,0
"cancel_attempt","iOS","Central",1,0,371,371,0,0
"cancel_attempt","iOS","North",1,1,441,441,0,0
"cancel_attempt","iOS","South",1,0,579,579,0,0
"chat_escalated","Android","Airport",1,1,137,137,1,100
