"complaint_type","severity","total_complaints","total_compensation_paid","avg_compensation","max_compensation","avg_resolution_days"
"Delay","Medium",47,964.87,20.53,52.43,5.96
"MissedPickup","High",16,689.11,43.07,61.85,11.56
"MissedPickup","Medium",34,644.8,18.96,54.41,6.24
"Delay","High",14,511.54,36.54,59.75,13.36
"DriverBehaviour","Medium",28,476.29,17.01,52.16,5.32
"DriverBehaviour","High",12,460.63,38.39,61.11,13.5
"AppIssue","High",12,408.59,34.05,47.81,13.58
"AppIssue","Medium",22,386.58,17.57,38.03,7.86
"Damage","High",7,260.85,37.26,57.63,15.43
"SupportExperience","Medium",11,224.13,20.38,33.83,6.09
"Delay","Low",19,220.43,11.6,27.41,6.79
"Billing","High",4,209.29,52.32,58.46,12
"AppIssue","Low",12,185.55,15.46,31.26,4.67
"Billing","Medium",9,152.07,16.9,30.35,5.78
"SupportExperience","High",3,101.65,33.88,46.47,14.67
"MissedPickup","Low",8,89.49,11.19,20.06,6.38
"Damage","Low",5,65.01,13,18.49,6.2
"DriverBehaviour","Low",4,36.14,9.04,14.36,7
"Damage","Medium",2,33.87,16.94,22.87,10.5
"Billing","Low",3,20.58,6.86,10.94,8
"SupportExperience","Low",3,16.72,5.57,7.49,7
