"complaint_id","customer_id","complaint_type","severity","channel","complaint_status","resolution_days","compensation_amount","delivery_status","manual_route_override_count","proof_of_completion_missing","customer_rating_post_delivery"
"CP0037","C0561","MissedPickup","Medium","Chatbot","AwaitingCustomer",18,7.33,"OnTime",0,0,4.41
"CP0098","C0482","MissedPickup","Medium","App","Resolved",18,31.16,"OnTime",0,0,5
"CP0258","C0013","SupportExperience","Medium","App","Open",16,9.98,"OnTime",2,0,4.17
"CP0011","C0618","Delay","Medium","App","Open",15,19.97,"OnTime",2,0,3.95
"CP0097","C0282","DriverBehaviour","Medium","App","Escalated",15,27.94,"Failed",1,0,2.43
"CP0126","C0093","Delay","Medium","App","Open",15,12.62,"Failed",2,0,4.45
"CP0014","C0545","Billing","Medium","Chatbot","Resolved",14,7.08,"Delayed",1,1,1.83
"CP0099","C0110","AppIssue","Medium","Email","AwaitingCustomer",14,11.53,"OnTime",2,0,4.64
"CP0171","C0020","AppIssue","Medium","Phone","Escalated",14,18.37,"OnTime",2,0,3.89
"CP0268","C0445","AppIssue","Medium","App","Open",14,37.15,"OnTime",0,0,4.37
"CP0026","C0408","SupportExperience","Medium","App","Resolved",13,18.44,"OnTime",1,0,3.48
"CP0164","C0062","Delay","Medium","Chatbot","Resolved",13,3,"OnTime",1,0,3.65
"CP0186","C0391","Delay","Medium","App","AwaitingCustomer",13,13.55,"OnTime",1,0,4.04
"CP0201","C0168","Delay","Medium","Chatbot","Resolved",13,24.03,"OnTime",1,0,3.97
"CP0253","C0567","AppIssue","Medium","App","Resolved",13,22.73,"OnTime",0,0,4.12
"CP0073","C0331","Delay","Medium","App","AwaitingCustomer",12,0,"Delayed",0,1,2.29
"CP0135","C0610","Delay","Medium","App","Escalated",12,21.82,"OnTime",0,0,5
"CP0047","C0012","AppIssue","Medium","Phone","Resolved",11,19.21,"OnTime",1,0,4.43
"CP0061","C0545","DriverBehaviour","Medium","Phone","AwaitingCustomer",11,52.16,"Delayed",1,1,1.83
"CP0166","C0465","DriverBehaviour","Medium","Phone","Open",11,18.57,"OnTime",0,0,3.63
"CP0191","C0358","Delay","Medium","Phone","Open",11,14.02,"OnTime",2,0,5
"CP0225","C0531","MissedPickup","Medium","Phone","Open",11,20.66,"OnTime",1,0,3.62
"CP0236","C0029","AppIssue","Medium","Phone","Resolved",11,7.71,"Failed",1,1,3.36
"CP0016","C0234","MissedPickup","Medium","App","Resolved",10,0,"OnTime",2,0,3.74
"CP0066","C0552","AppIssue","Medium","Email","Resolved",10,25.09,"Delayed",1,0,NA
"CP0071","C0092","Delay","Medium","Chatbot","AwaitingCustomer",10,17.48,"OnTime",0,0,4.47
"CP0105","C0538","MissedPickup","Medium","Chatbot","Resolved",10,30.85,"Failed",0,0,2.59
"CP0149","C0550","AppIssue","Medium","Phone","Resolved",10,38.03,"OnTime",3,0,5
"CP0210","C0335","MissedPickup","Medium","Chatbot","Resolved",10,28.12,"Delayed",4,0,3.44
"CP0272","C0208","Delay","Medium","App","Resolved",10,12.97,"Delayed",0,0,2.94
"CP0275","C0109","MissedPickup","Medium","App","AwaitingCustomer",10,18.13,"Failed",1,0,4.2
"CP0006","C0096","Delay","Medium","App","Resolved",9,18.51,"OnTime",0,0,4.34
"CP0029","C0477","MissedPickup","Medium","Chatbot","Resolved",9,4.01,"OnTime",0,0,4.03
"CP0041","C0146","MissedPickup","Medium","Chatbot","Open",9,30.4,"OnTime",0,0,3.8
"CP0084","C0647","DriverBehaviour","Medium","Chatbot","Resolved",9,27.67,"OnTime",2,0,4.06
"CP0121","C0421","Billing","Medium","Phone","Resolved",9,27.42,"OnTime",0,0,4.29
"CP0148","C0189","Damage","Medium","Phone","Escalated",9,11,"OnTime",1,0,3.5
"CP0169","C0419","MissedPickup","Medium","App","Resolved",9,11.78,"OnTime",0,0,4.79
"CP0189","C0517","Delay","Medium","Chatbot","Resolved",9,19.84,"Delayed",1,0,4.06
"CP0197","C0611","Delay","Medium","Phone","AwaitingCustomer",9,0,"Delayed",2,1,2.68
"CP0013","C0157","MissedPickup","Medium","Phone","Resolved",8,15.77,"OnTime",0,0,5
"CP0033","C0489","MissedPickup","Medium","App","Resolved",8,34.92,"OnTime",3,0,3.68
"CP0101","C0119","DriverBehaviour","Medium","Phone","Resolved",8,0,"OnTime",1,0,3.76
"CP0120","C0558","MissedPickup","Medium","Phone","Resolved",8,54.41,"OnTime",1,0,4.38
"CP0153","C0119","DriverBehaviour","Medium","Chatbot","Resolved",8,20.06,"OnTime",1,0,3.76
"CP0227","C0026","DriverBehaviour","Medium","Phone","Resolved",8,9.16,"Delayed",2,0,4.05
"CP0228","C0242","Delay","Medium","Email","Open",8,8.1,"OnTime",0,0,4.91
"CP0237","C0508","DriverBehaviour","Medium","App","Resolved",8,14.83,"Failed",1,0,2.2
"CP0004","C0631","Delay","Medium","App","AwaitingCustomer",7,23.44,"OnTime",2,0,4.38
"CP0070","C0255","Delay","Medium","Phone","Escalated",7,28.5,"Failed",1,0,2.74
"CP0082","C0578","Delay","Medium","App","Escalated",7,10.81,"OnTime",1,0,3.87
"CP0086","C0627","SupportExperience","Medium","Phone","Resolved",7,33.83,"OnTime",0,0,4.32
"CP0154","C0630","Delay","Medium","App","Open",7,NA,"Delayed",0,1,NA
"CP0218","C0171","MissedPickup","Medium","App","Resolved",7,19.7,"Failed",1,0,4.17
"CP0274","C0622","SupportExperience","Medium","App","AwaitingCustomer",7,0,"OnTime",0,0,3.68
"CP0278","C0285","MissedPickup","Medium","Phone","Escalated",7,12.14,"Failed",1,0,5
"CP0291","C0515","SupportExperience","Medium","Phone","AwaitingCustomer",7,20.04,"OnTime",1,0,3.7
"CP0304","C0178","Delay","Medium","Phone","Open",7,20.69,"Failed",1,0,3.21
"CP0316","C0454","MissedPickup","Medium","Phone","Resolved",7,12.97,"Delayed",0,0,3.55
"CP0045","C0599","DriverBehaviour","Medium","Email","AwaitingCustomer",6,8.74,"OnTime",3,0,4.68
"CP0080","C0201","DriverBehaviour","Medium","App","Resolved",6,18.79,"OnTime",2,0,3.83
"CP0090","C0123","MissedPickup","Medium","Phone","Resolved",6,24.95,"Failed",0,0,4.29
"CP0106","C0595","AppIssue","Medium","Chatbot","Resolved",6,11.23,"OnTime",1,0,5
"CP0127","C0368","AppIssue","Medium","App","Resolved",6,1.15,"OnTime",1,0,4.7
"CP0155","C0613","AppIssue","Medium","Email","Escalated",6,18.06,"OnTime",0,0,3.73
"CP0162","C0138","MissedPickup","Medium","Phone","AwaitingCustomer",6,22.27,"OnTime",1,0,4.79
"CP0185","C0100","MissedPickup","Medium","Email","Resolved",6,5.59,"OnTime",0,0,4.76
"CP0270","C0208","Billing","Medium","Email","Resolved",6,23.97,"Delayed",0,0,1
"CP0280","C0369","DriverBehaviour","Medium","Email","Resolved",6,3.44,"OnTime",1,0,4.66
"CP0290","C0259","SupportExperience","Medium","App","Resolved",6,18.82,"OnTime",2,0,4.04
"CP0317","C0631","DriverBehaviour","Medium","Chatbot","Resolved",6,26.52,"OnTime",2,0,4.38
"CP0111","C0051","AppIssue","Medium","Chatbot","Resolved",5,12.4,"OnTime",3,0,3.11
"CP0114","C0480","MissedPickup","Medium","Phone","Open",5,0,"OnTime",0,0,4.51
"CP0205","C0104","MissedPickup","Medium","App","AwaitingCustomer",5,20.67,"Failed",0,0,2.96
"CP0288","C0459","Delay","Medium","Phone","Escalated",5,20.75,"OnTime",0,0,3.64
"CP0318","C0056","Delay","Medium","App","Open",5,20.42,"Delayed",0,1,3.68
"CP0002","C0056","MissedPickup","Medium","Phone","Open",4,21.64,"Delayed",0,1,3.68
"CP0007","C0597","MissedPickup","Medium","App","Escalated",4,14.14,"Delayed",1,0,4.52
"CP0025","C0617","Delay","Medium","App","Resolved",4,11.64,"Delayed",1,1,2.94
"CP0042","C0361","SupportExperience","Medium","Email","Resolved",4,26.2,"Delayed",2,0,3.11
"CP0049","C0146","DriverBehaviour","Medium","Email","Resolved",4,19.76,"Delayed",2,0,4.3
"CP0091","C0331","Delay","Medium","Phone","Resolved",4,NA,"OnTime",1,0,4.35
"CP0129","C0476","Delay","Medium","Phone","Resolved",4,21.23,"Failed",1,1,3.09
"CP0146","C0001","Delay","Medium","Phone","Resolved",4,0,"OnTime",3,0,4.21
"CP0183","C0122","SupportExperience","Medium","Chatbot","Escalated",4,20.4,"OnTime",2,0,5
"CP0203","C0279","DriverBehaviour","Medium","Phone","Resolved",4,12.46,"OnTime",1,0,5
"CP0204","C0140","Delay","Medium","Chatbot","Open",4,0,"OnTime",1,0,5
"CP0216","C0084","Delay","Medium","App","Resolved",4,32.45,"Delayed",1,0,3.28
"CP0282","C0335","DriverBehaviour","Medium","Email","Escalated",4,18.1,"OnTime",2,0,3.9
"CP0301","C0023","DriverBehaviour","Medium","Phone","Resolved",4,16.83,"OnTime",0,0,3.92
"CP0143","C0508","SupportExperience","Medium","Phone","Open",3,16.43,"OnTime",0,0,4.6
"CP0163","C0326","Billing","Medium","App","Open",3,11.17,"OnTime",1,0,4.74
"CP0173","C0212","Delay","Medium","App","Resolved",3,52.43,"OnTime",1,0,4.52
"CP0181","C0384","SupportExperience","Medium","Chatbot","Open",3,31.97,"Failed",3,0,2.96
"CP0184","C0025","MissedPickup","Medium","Phone","Open",3,19.47,"OnTime",0,0,4.66
"CP0212","C0095","MissedPickup","Medium","App","Resolved",3,19.18,"Delayed",2,0,4.7
"CP0213","C0368","Delay","Medium","Email","AwaitingCustomer",3,22.87,"OnTime",0,0,4.7
"CP0233","C0339","MissedPickup","Medium","Email","Resolved",3,10.05,"OnTime",0,0,3.59
"CP0235","C0611","Delay","Medium","Chatbot","Resolved",3,32.8,"Delayed",5,1,3.32
"CP0243","C0390","DriverBehaviour","Medium","Chatbot","Escalated",3,23.87,"OnTime",1,0,4.72
"CP0263","C0561","Delay","Medium","Phone","AwaitingCustomer",3,27.52,"OnTime",0,0,4.41
"CP0293","C0449","DriverBehaviour","Medium","Phone","Resolved",3,28,"OnTime",0,0,4.36
"CP0031","C0618","Billing","Medium","Phone","Escalated",2,30.35,"OnTime",1,0,4.64
"CP0036","C0282","Delay","Medium","App","AwaitingCustomer",2,42.3,"OnTime",2,0,3.82
"CP0051","C0274","AppIssue","Medium","Phone","Resolved",2,3.9,"OnTime",0,0,4.82
"CP0093","C0436","Delay","Medium","App","Resolved",2,16.98,"Delayed",1,1,1.15
"CP0165","C0161","AppIssue","Medium","Phone","Open",2,8.66,"Delayed",2,0,3.7
"CP0192","C0032","AppIssue","Medium","Email","Resolved",2,18.72,"Failed",0,0,5
"CP0198","C0621","Delay","Medium","Phone","Resolved",2,8.38,"OnTime",0,0,4.72
"CP0319","C0325","Delay","Medium","Email","Resolved",2,11.9,"OnTime",0,0,3.37
"CP0005","C0535","Delay","Medium","Email","Resolved",1,16.18,"Delayed",0,0,2.62
"CP0010","C0486","DriverBehaviour","Medium","Phone","Open",1,6.32,"OnTime",0,0,4.17
"CP0017","C0346","Delay","Medium","Phone","Resolved",1,1.16,"OnTime",0,0,4.84
"CP0018","C0100","MissedPickup","Medium","Chatbot","Resolved",1,9.39,"OnTime",0,0,4.76
"CP0019","C0228","AppIssue","Medium","App","Resolved",1,19.24,"OnTime",0,0,3.91
"CP0028","C0242","Delay","Medium","Phone","Resolved",1,13.31,"OnTime",0,0,4.91
"CP0034","C0070","DriverBehaviour","Medium","App","AwaitingCustomer",1,4.09,"OnTime",0,0,5
"CP0038","C0562","Delay","Medium","Chatbot","Resolved",1,19.48,"OnTime",1,0,4.69
"CP0054","C0224","Delay","Medium","App","Resolved",1,36.38,"OnTime",0,0,4.24
"CP0058","C0271","SupportExperience","Medium","App","Escalated",1,10.06,"OnTime",2,0,3.98
"CP0104","C0257","AppIssue","Medium","App","Resolved",1,0,"Delayed",0,0,3.47
"CP0108","C0595","Delay","Medium","Chatbot","Resolved",1,13.57,"Delayed",1,0,3.96
"CP0115","C0369","MissedPickup","Medium","Phone","Open",1,32.02,"OnTime",1,0,4.69
"CP0137","C0549","DriverBehaviour","Medium","App","Resolved",1,14.08,"OnTime",1,0,5
"CP0200","C0256","DriverBehaviour","Medium","Phone","AwaitingCustomer",1,8.85,"OnTime",0,0,4.02
"CP0217","C0571","DriverBehaviour","Medium","Phone","Resolved",1,6.19,"OnTime",0,0,5
"CP0250","C0626","Delay","Medium","Email","Escalated",1,0,"Delayed",2,0,3.98
"CP0264","C0054","MissedPickup","Medium","Email","Escalated",1,12.41,"OnTime",0,0,4
"CP0279","C0573","Billing","Medium","App","Resolved",1,19.87,"Failed",1,0,1.41
"CP0289","C0532","MissedPickup","Medium","App","Resolved",1,25.56,"Delayed",0,1,2.81
"CP0295","C0182","Billing","Medium","Email","Open",1,4.94,"Delayed",2,0,4.22
"CP0298","C0285","Delay","Medium","App","Escalated",1,16.85,"Failed",1,0,5
"CP0320","C0207","MissedPickup","Medium","Email","Resolved",1,1.97,"Delayed",1,0,3
"CP0100","C0078","Damage","High","Phone","AwaitingCustomer",25,42.71,"OnTime",0,0,4.67
"CP0123","C0361","DriverBehaviour","High","App","Resolved",23,33.77,"OnTime",1,0,4.66
"CP0030","C0529","Delay","High","Email","Escalated",22,34.84,"Delayed",0,1,2.66
"CP0096","C0001","AppIssue","High","App","Resolved",22,43.9,"Delayed",1,1,3.93
"CP0306","C0004","Damage","High","App","Resolved",21,35.58,"Failed",1,0,4.11
"CP0239","C0213","MissedPickup","High","App","Resolved",20,27.41,"OnTime",0,0,5
"CP0294","C0339","AppIssue","High","Phone","Open",19,39.64,"Failed",2,0,2.8
"CP0311","C0636","DriverBehaviour","High","App","Resolved",19,NA,"Delayed",1,0,3.85
"CP0008","C0309","AppIssue","High","Email","Resolved",18,NA,"Delayed",3,0,1.24
"CP0261","C0566","AppIssue","High","Email","Open",18,47.09,"Delayed",3,0,4.44
"CP0245","C0646","AppIssue","High","Phone","Resolved",17,16.36,"OnTime",0,0,4.16
"CP0003","C0469","Delay","High","Chatbot","Open",16,26.41,"Delayed",0,0,3.51
"CP0139","C0368","SupportExperience","High","Phone","Resolved",16,46.47,"Failed",3,1,2.94
"CP0150","C0546","Damage","High","App","Escalated",16,15.85,"Delayed",0,0,3.8
"CP0170","C0242","DriverBehaviour","High","App","Resolved",16,54.34,"Delayed",0,1,5
"CP0234","C0140","Billing","High","App","Resolved",16,52.03,"OnTime",1,0,5
"CP0133","C0480","Delay","High","App","Open",15,38.76,"OnTime",0,0,4.51
"CP0147","C0383","DriverBehaviour","High","Phone","Open",15,33.52,"Failed",0,1,4.37
"CP0159","C0372","Delay","High","App","Escalated",15,34.82,"OnTime",0,0,2.89
"CP0215","C0533","SupportExperience","High","Chatbot","Resolved",15,29.11,"Failed",0,0,4.32
"CP0039","C0231","Delay","High","Email","Resolved",14,24.39,"OnTime",2,0,5
"CP0050","C0163","DriverBehaviour","High","Phone","Resolved",14,37.36,"Failed",0,0,2.54
"CP0055","C0186","MissedPickup","High","Chatbot","Resolved",14,60.3,"Failed",1,0,3.2
"CP0131","C0583","Delay","High","Email","Open",14,32.48,"Failed",1,0,3.69
"CP0241","C0351","Delay","High","Phone","Resolved",14,42.27,"Failed",0,0,2.25
"CP0315","C0517","MissedPickup","High","Chatbot","Resolved",14,58.16,"OnTime",1,0,4.21
"CP0053","C0543","SupportExperience","High","Phone","Resolved",13,26.07,"Delayed",0,0,2.34
"CP0077","C0573","Billing","High","Email","Resolved",13,58.46,"Failed",1,0,1.41
"CP0308","C0597","DriverBehaviour","High","Phone","Resolved",13,37.97,"OnTime",1,0,3.19
"CP0310","C0421","DriverBehaviour","High","Phone","Resolved",13,45.71,"OnTime",0,0,4.29
"CP0092","C0031","DriverBehaviour","High","Email","Escalated",12,46.65,"OnTime",0,0,5
"CP0095","C0649","AppIssue","High","Chatbot","Resolved",12,34.13,"OnTime",0,0,4.47
"CP0130","C0581","Delay","High","Email","AwaitingCustomer",12,24.38,"Failed",4,0,2.82
"CP0276","C0015","AppIssue","High","Phone","Resolved",12,19.46,"OnTime",0,0,3.76
"CP0001","C0464","AppIssue","High","App","Open",11,23.99,"OnTime",1,0,4.57
"CP0044","C0549","MissedPickup","High","Email","Resolved",11,25,"OnTime",1,0,5
"CP0059","C0351","Delay","High","Email","Resolved",11,59.75,"OnTime",0,0,4.05
"CP0117","C0560","Delay","High","Phone","Resolved",11,35.62,"Failed",2,0,2.73
"CP0283","C0252","DriverBehaviour","High","Email","Open",11,61.11,"OnTime",0,0,3.77
"CP0299","C0178","Delay","High","App","Open",11,NA,"Delayed",0,1,2.51
"CP0088","C0180","DriverBehaviour","High","Phone","Resolved",10,14.63,"OnTime",2,0,4.67
"CP0144","C0078","Delay","High","Chatbot","Resolved",10,58.9,"OnTime",2,0,4.29
"CP0286","C0015","DriverBehaviour","High","App","Resolved",10,NA,"OnTime",0,0,3.99
"CP0040","C0512","Delay","High","Email","Resolved",9,NA,"OnTime",0,0,4.87
"CP0122","C0619","AppIssue","High","Email","AwaitingCustomer",9,35.13,"Failed",1,0,1.68
"CP0174","C0116","DriverBehaviour","High","Chatbot","Open",9,NA,"OnTime",3,0,3.25
"CP0074","C0475","Delay","High","Chatbot","Resolved",7,NA,"Delayed",3,1,2.49
"CP0112","C0421","MissedPickup","High","App","AwaitingCustomer",7,45.85,"OnTime",0,0,NA
"CP0277","C0444","MissedPickup","High","App","AwaitingCustomer",7,46.17,"OnTime",1,0,4.8
"CP0309","C0175","Damage","High","Email","Resolved",7,57.63,"OnTime",0,0,4.05
"CP0132","C0552","AppIssue","High","Phone","Resolved",6,41.06,"OnTime",3,0,3.98
"CP0138","C0400","Damage","High","Phone","Escalated",6,31.84,"OnTime",0,0,4.54
"CP0260","C0250","MissedPickup","High","Chatbot","Resolved",5,24.73,"Delayed",0,0,2.75
