"customer_id","total_orders","failed_deliveries","delayed_deliveries","total_complaints","total_incidents","avg_rating","total_compensation_paid"
"C0368",3,4,0,4,0,4.11,232.53
"C0110",3,3,0,3,1,3.49,132.42
"C0282",2,3,0,3,1,3.13,149.26
"C0372",6,3,3,3,0,3.46,431.34
"C0573",3,3,0,3,0,1.41,334.26
"C0142",2,0,0,3,0,5,118.28
"C0172",4,0,0,3,0,3.82,245.96
"C0191",2,0,0,3,1,4.17,125.52
"C0242",5,0,3,3,1,4.97,378.75
"C0421",3,0,0,3,0,4.09,356.94
"C0545",6,0,6,3,2,3.74,515.2
"C0626",3,0,3,3,0,3.64,108.69
"C0178",2,4,2,2,2,2.98,62.07
"C0004",3,2,0,2,0,4.26,106.74
"C0023",6,2,2,2,0,3.74,265.44
"C0032",5,2,2,2,1,3.37,135.3
"C0054",4,2,0,2,1,3.58,49.64
"C0056",2,2,2,2,1,2.97,84.12
"C0285",2,2,0,2,1,5,57.98
"C0339",3,2,0,2,2,3.58,149.07
"C0351",4,2,0,2,0,3.74,408.08
"C0476",5,2,2,2,0,3.74,147.5
"C0480",4,2,0,2,1,3.91,155.04
"C0508",3,2,0,2,1,3.73,93.78
"C0529",5,2,4,2,0,3.82,186.4
"C0549",2,2,0,2,0,3.86,78.16
"C0578",3,2,0,2,1,3.93,67.68
"C0583",2,2,0,2,0,3.69,136.88
"C0597",4,2,2,2,0,3.87,208.44
"C0618",4,2,2,2,1,3.73,201.28
"C0001",3,0,2,2,0,4.07,131.7
"C0012",3,0,2,2,1,3.35,103.98
"C0015",4,0,0,2,2,3.88,77.84
"C0026",3,0,2,2,1,4.53,86.82
"C0028",3,0,0,2,0,4.22,26.58
"C0051",3,0,0,2,1,3.54,95.79
"C0078",3,0,2,2,1,3.87,304.83
"C0095",2,0,2,2,0,4.7,66.9
"C0100",1,0,0,2,2,4.76,29.96
"C0119",2,0,0,2,0,3.74,40.12
"C0138",1,0,0,2,0,4.79,29.43
"C0140",2,0,0,2,0,4.35,104.06
"C0146",2,0,2,2,0,4.05,100.32
"C0157",4,0,2,2,3,4.64,94.62
"C0162",2,0,0,2,1,4.33,37.48
"C0180",3,0,2,2,0,3.51,119.04
"C0208",2,0,4,2,1,1.97,73.88
"C0248",3,0,0,2,0,3.83,77.07
"C0259",4,0,0,2,3,3.99,103.75
"C0269",1,0,0,2,0,NA,75.22
"C0272",1,0,0,2,0,NA,14.85
"C0279",2,0,0,2,0,5,24.92
"C0325",2,0,0,2,0,3.37,66.12
"C0331",3,0,2,2,1,3.62,0
"C0335",6,0,2,2,1,4.11,277.32
"C0361",5,0,4,2,2,3.88,299.85
"C0369",4,0,0,2,0,4.5,141.84
"C0378",4,0,2,2,1,3.94,65.08
"C0408",2,0,0,2,0,3.48,46
"C0436",2,0,2,2,0,1.15,76.5
"C0486",3,0,0,2,1,4.33,18.96
"C0510",1,0,0,2,0,NA,70.79
"C0517",3,0,2,2,1,4.18,234
"C0552",3,0,2,2,2,4.49,198.45
"C0561",2,0,0,2,1,3.78,69.7
"C0564",4,0,2,2,1,3.83,151.72
"C0571",4,0,4,2,0,4.46,47.44
"C0595",4,0,2,2,1,4.65,99.2
"C0599",6,0,4,2,1,4.12,52.44
"C0611",3,0,4,2,1,3.35,98.4
"C0622",6,0,0,2,1,4.06,109.14
"C0627",2,0,0,2,0,4.32,94.56
"C0631",2,0,2,2,1,3.97,99.92
"C0647",2,0,0,2,1,4.16,62.14
"C0186",3,2,0,1,1,3.23,180.9
"C0533",5,2,0,1,1,4.38,145.55
"C0025",2,1,0,1,2,4.2,38.94
"C0029",2,1,0,1,0,3.65,15.42
"C0077",2,1,0,1,0,2.38,0
"C0093",3,1,1,1,1,3.97,37.86
"C0104",3,1,1,1,1,3.23,62.01
"C0109",3,1,2,1,0,3.31,54.39
"C0123",2,1,0,1,0,4.29,49.9
"C0145",3,1,0,1,0,4.09,185.55
"C0163",2,1,0,1,0,3.58,74.72
"C0171",2,1,0,1,1,4.2,39.4
"C0175",3,1,0,1,1,3.64,172.89
"C0182",4,1,1,1,0,3.66,19.76
"C0187",2,1,0,1,0,3.37,30.52
"C0226",5,1,0,1,0,2.92,186.25
"C0243",5,1,0,1,1,3.43,32.95
"C0250",2,1,1,1,0,2.9,49.46
"C0255",2,1,0,1,1,3.12,57
"C0257",5,1,1,1,0,3.35,0
"C0274",2,1,0,1,0,4.62,7.8
"C0292",4,1,0,1,1,4.05,26.72
"C0371",2,1,0,1,0,2.87,66.54
"C0383",3,1,0,1,0,4.29,100.56
"C0384",2,1,1,1,1,2.54,63.94
"C0391",2,1,0,1,2,4,27.1
"C0396",3,1,0,1,1,1.68,99.66
"C0399",5,1,1,1,1,3.62,0
"C0412",5,1,1,1,2,4.08,0
"C0452",2,1,0,1,2,4.76,4.35
"C0477",3,1,0,1,0,3.55,12.03
"C0538",3,1,1,1,1,3.13,92.55
"C0560",3,1,0,1,2,3.38,142.48
"C0567",4,1,1,1,2,3.39,90.92
"C0574",4,1,0,1,0,4.33,0
"C0581",4,1,1,1,0,3.47,97.52
"C0613",3,1,0,1,0,4.12,54.18
"C0619",1,1,0,1,0,1.68,35.13
"C0628",2,1,0,1,0,1,60.8
"C0649",4,1,0,1,0,3.63,136.52
"C0010",4,0,0,1,1,4.09,62.92
"C0013",5,0,0,1,1,4.35,49.9
"C0014",4,0,0,1,2,3.81,184.25
"C0020",2,0,0,1,2,4.45,36.74
"C0031",2,0,0,1,1,5,93.3
"C0046",2,0,0,1,0,4.33,28.12
"C0062",1,0,0,1,0,3.65,3
"C0070",2,0,0,1,0,5,8.18
"C0071",1,0,0,1,0,4.65,7.08
"C0072",2,0,1,1,0,3.58,14.98
"C0073",1,0,0,1,0,NA,36.04
"C0074",2,0,0,1,0,3.68,20.64
"C0084",3,0,2,1,1,3.25,97.35
"C0092",1,0,0,1,0,4.47,17.48
"C0096",3,0,2,1,1,3.22,55.53
"C0097",3,0,0,1,0,3.88,26.82
"C0107",4,0,0,1,1,3.72,187.76
"C0115",1,0,0,1,1,4.04,14.36
"C0116",1,0,0,1,1,3.25,0
"C0122",1,0,0,1,0,5,20.4
"C0139",2,0,0,1,0,4.08,16.38
"C0161",2,0,1,1,0,3.7,17.32
"C0164",2,0,0,1,1,4.56,103.72
"C0166",1,0,0,1,0,NA,0
"C0168",4,0,0,1,1,4.36,96.12
"C0169",3,0,0,1,3,3.17,156.3
"C0173",2,0,0,1,0,3.22,0
"C0174",2,0,0,1,0,NA,11.4
"C0177",1,0,0,1,0,NA,61.45
"C0185",2,0,0,1,0,3.75,14.18
"C0189",1,0,0,1,0,3.5,11
"C0193",2,0,0,1,0,NA,1.86
"C0201",4,0,0,1,0,4.2,75.16
"C0206",2,0,0,1,0,4.28,0
"C0207",1,0,1,1,1,3,1.97
"C0211",2,0,1,1,0,2.23,65.18
"C0212",1,0,0,1,0,4.52,52.43
"C0213",3,0,0,1,1,4.71,82.23
"C0215",3,0,0,1,0,3.41,143.43
"C0224",2,0,1,1,0,3.88,72.76
"C0228",2,0,0,1,0,3.91,38.48
"C0231",2,0,0,1,0,4.33,48.78
"C0232",4,0,0,1,1,3.91,88.92
"C0234",2,0,0,1,1,4.2,0
"C0252",3,0,0,1,0,4.19,183.33
"C0256",2,0,0,1,0,4.02,17.7
"C0261",1,0,0,1,0,4.18,18.23
"C0271",1,0,0,1,1,3.98,10.06
"C0287",1,0,0,1,0,4.19,18.49
"C0294",1,0,0,1,0,NA,15.19
"C0296",3,0,0,1,0,3.53,0
"C0309",2,0,3,1,2,2.89,0
"C0317",4,0,1,1,1,3.92,47.96
"C0321",2,0,1,1,1,3.58,26.92
"C0326",1,0,0,1,0,4.74,11.17
"C0340",1,0,0,1,0,NA,26.35
"C0343",7,0,1,1,1,4.15,111.16
"C0345",4,0,1,1,1,3.78,11.88
"C0346",3,0,0,1,0,4.39,3.48
"C0354",3,0,1,1,0,2.92,80.85
"C0358",1,0,0,1,0,5,14.02
"C0362",2,0,0,1,0,4.88,67.6
"C0381",2,0,1,1,1,2.3,21.06
"C0390",4,0,2,1,0,4.16,95.48
"C0393",2,0,0,1,0,3.93,45
"C0400",1,0,0,1,0,4.54,31.84
"C0405",1,0,0,1,0,NA,0
"C0419",1,0,0,1,0,4.79,11.78
"C0422",1,0,0,1,0,NA,6.73
"C0426",2,0,0,1,1,3.95,21.88
"C0428",2,0,0,1,0,4.84,0
"C0444",2,0,0,1,0,4.8,92.34
"C0445",2,0,0,1,1,4.04,74.3
"C0447",1,0,0,1,1,5,9
"C0449",2,0,0,1,3,3.94,84
"C0454",2,0,1,1,1,3.9,25.94
"C0459",2,0,0,1,0,3.64,41.5
"C0464",2,0,1,1,0,4.17,47.98
"C0465",1,0,0,1,2,3.63,37.14
"C0469",2,0,1,1,1,3.72,52.82
"C0475",2,0,2,1,1,2.51,0
"C0482",3,0,0,1,0,4.32,93.48
"C0485",1,0,0,1,0,NA,38.34
"C0489",1,0,0,1,0,3.68,34.92
"C0490",3,0,0,1,0,4.04,0
"C0491",2,0,0,1,0,4.63,58.5
"C0495",2,0,0,1,0,4.29,40.36
"C0497",1,0,0,1,0,NA,15.35
"C0498",3,0,1,1,0,2.77,0
"C0505",3,0,0,1,0,4.45,68.61
"C0509",2,0,0,1,1,4.56,32.34
"C0512",3,0,0,1,0,4.7,0
"C0515",2,0,0,1,0,4.12,40.08
"C0516",1,0,0,1,0,5,15.62
"C0519",4,0,0,1,1,4.54,0
"C0521",3,0,0,1,0,5,45.78
"C0531",1,0,0,1,0,3.62,20.66
"C0532",2,0,1,1,1,3.3,51.12
"C0535",4,0,1,1,1,4.23,64.72
"C0539",1,0,1,1,0,3.43,8.32
"C0543",3,0,1,1,2,3.95,104.28
"C0544",2,0,0,1,0,1.99,77.8
"C0546",1,0,1,1,1,3.8,15.85
"C0550",3,0,0,1,1,4.59,114.09
"C0558",4,0,1,1,0,3.56,217.64
"C0562",2,0,0,1,0,4.69,38.96
"C0566",2,0,1,1,0,4.44,94.18
"C0575",4,0,2,1,1,3.23,26.88
"C0586",2,0,0,1,0,NA,6.32
"C0591",3,0,0,1,0,4.19,35.13
"C0610",2,0,0,1,0,4.81,43.64
"C0612",3,0,0,1,2,3.92,47.49
"C0617",1,0,1,1,0,2.94,11.64
"C0621",4,0,0,1,0,4.26,33.52
"C0629",1,0,0,1,0,NA,0
"C0630",3,0,1,1,2,4.58,0
"C0636",3,0,1,1,1,3.61,0
"C0639",2,0,1,1,0,3.08,40.12
"C0646",1,0,0,1,2,4.16,32.72
"C0492",2,3,0,0,2,2.57,0
"C0530",4,3,1,0,3,3.03,0
"C0021",4,2,0,0,1,4.37,0
"C0198",3,2,0,0,2,3.11,0
"C0300",3,2,0,0,4,3.65,0
"C0050",2,1,0,0,0,3.75,0
"C0053",2,1,0,0,0,3.36,0
"C0057",2,1,0,0,1,1.67,0
"C0086",1,1,0,0,0,2.85,0
"C0103",2,1,0,0,0,4.04,0
"C0117",4,1,2,0,3,2.97,0
"C0125",1,1,0,0,1,2.14,0
"C0153",5,1,0,0,2,3.67,0
"C0158",1,1,0,0,0,3.34,0
"C0160",2,1,0,0,0,3.11,0
"C0197",4,1,1,0,0,4.44,0
"C0199",2,1,1,0,1,4.58,0
"C0204",2,1,0,0,0,3.83,0
"C0221",1,1,0,0,0,2.56,0
"C0235",4,1,0,0,4,3.77,0
"C0246",5,1,0,0,0,3.54,0
"C0247",2,1,0,0,1,4.04,0
"C0253",4,1,0,0,0,2.54,0
"C0268",3,1,0,0,1,4.02,0
"C0288",2,1,1,0,0,2.59,0
"C0290",2,1,1,0,1,3.21,0
"C0298",2,1,0,0,0,4.13,0
"C0301",3,1,0,0,0,4.06,0
"C0308",1,1,0,0,0,3.63,0
"C0313",1,1,0,0,0,2.48,0
"C0324",1,1,0,0,0,2.31,0
"C0330",1,1,0,0,0,1.92,0
"C0336",2,1,0,0,1,4.23,0
"C0338",2,1,1,0,1,2.56,0
"C0344",1,1,0,0,0,3.44,0
"C0355",1,1,0,0,0,4.79,0
"C0359",4,1,2,0,0,3.17,0
"C0364",1,1,0,0,0,3.35,0
"C0404",3,1,1,0,0,3.74,0
"C0413",3,1,1,0,0,2.91,0
"C0415",1,1,0,0,1,3.58,0
"C0431",3,1,0,0,0,2.71,0
"C0434",3,1,0,0,1,3.73,0
"C0437",4,1,0,0,1,3.5,0
"C0438",2,1,0,0,0,3.12,0
"C0448",1,1,0,0,1,1.22,0
"C0455",2,1,0,0,0,1.65,0
"C0467",6,1,1,0,3,3.99,0
"C0468",1,1,0,0,0,2.69,0
"C0471",2,1,0,0,0,3.2,0
"C0473",4,1,0,0,0,4.07,0
"C0484",1,1,0,0,0,3.68,0
"C0488",1,1,0,0,0,3.9,0
"C0499",4,1,0,0,2,4.19,0
"C0504",1,1,0,0,0,2.51,0
"C0514",2,1,0,0,1,3.63,0
"C0524",1,1,0,0,0,1.99,0
"C0577",1,1,0,0,1,1.53,0
"C0579",3,1,1,0,0,2.93,0
"C0588",4,1,0,0,0,4.09,0
"C0590",2,1,0,0,1,2.73,0
"C0620",1,1,0,0,0,2.77,0
"C0633",3,1,0,0,0,3.64,0
"C0640",3,1,2,0,2,2.87,0
