"base_zone","operating_zone","zone_match","total_deliveries","failure_rate_pct","delay_rate_pct","avg_overrides","avg_driver_rating"
"Airport","West","Out-of-Zone",13,30.77,7.69,1.08,4.18
"West","Central","Out-of-Zone",26,30.77,15.38,0.92,4.07
"West","Riverside","Out-of-Zone",13,30.77,7.69,0.77,4.15
"Riverside","Central","Out-of-Zone",23,26.09,17.39,1.04,4.19
"West","South","Out-of-Zone",12,25,16.67,0.75,4.22
"Riverside","South","Out-of-Zone",9,22.22,0,0.11,4.18
"South","Central","Out-of-Zone",45,22.22,17.78,0.91,4.11
"East","Central","Out-of-Zone",23,21.74,8.7,0.87,4.16
"North","Airport","Out-of-Zone",19,21.05,15.79,0.89,3.85
"Airport","Central","Out-of-Zone",24,20.83,25,0.92,4.27
"Airport","South","Out-of-Zone",10,20,30,1.2,4.23
"Central","Airport","Out-of-Zone",20,20,30,1.05,4.21
"West","North","Out-of-Zone",17,17.65,17.65,0.76,4.09
"South","Airport","Out-of-Zone",12,16.67,41.67,0.58,4.25
"West","East","Out-of-Zone",18,16.67,0,1.11,4.33
"West","West","In-Zone",18,16.67,16.67,1.11,4.07
"Central","Central","In-Zone",43,16.28,25.58,1.14,4.22
"South","North","Out-of-Zone",25,16,12,1.32,4.33
"Riverside","North","Out-of-Zone",13,15.38,15.38,0.69,4.05
"Riverside","Riverside","In-Zone",13,15.38,38.46,1.69,4.36
"North","North","In-Zone",29,13.79,13.79,1.07,4.04
"North","Riverside","Out-of-Zone",22,13.64,27.27,1.09,4.06
"North","Central","Out-of-Zone",59,13.56,20.34,1.2,4.12
"East","Airport","Out-of-Zone",15,13.33,13.33,0.53,4.19
"East","Riverside","Out-of-Zone",15,13.33,26.67,1,4.31
"East","West","Out-of-Zone",15,13.33,13.33,0.67,4.27
"Airport","Riverside","Out-of-Zone",16,12.5,18.75,0.81,4.16
"Central","West","Out-of-Zone",17,11.76,11.76,0.71,4.43
"Riverside","Airport","Out-of-Zone",17,11.76,35.29,1,4.22
"South","East","Out-of-Zone",17,11.76,23.53,0.88,3.94
"North","East","Out-of-Zone",28,10.71,28.57,1.36,4.18
"East","East","In-Zone",10,10,10,0.5,4.22
"North","West","Out-of-Zone",30,10,40,0.73,4.07
"West","Airport","Out-of-Zone",10,10,20,0.9,4.04
"East","North","Out-of-Zone",11,9.09,9.09,0.82,4.21
"North","South","Out-of-Zone",22,9.09,27.27,0.68,3.95
"Central","North","Out-of-Zone",24,8.33,37.5,1.21,4.31
"Riverside","West","Out-of-Zone",12,8.33,8.33,0.75,4.18
"Central","East","Out-of-Zone",14,7.14,28.57,0.5,4.3
"Airport","North","Out-of-Zone",17,5.88,23.53,0.94,4.4
"Central","Riverside","Out-of-Zone",20,5,20,1.05,4.2
"Airport","East","Out-of-Zone",21,4.76,23.81,0.57,4.19
"South","West","Out-of-Zone",22,4.55,31.82,1.09,4.2
"Central","South","Out-of-Zone",25,4,32,0.72,4.16
"Airport","Airport","In-Zone",11,0,27.27,1.45,4.23
"East","South","Out-of-Zone",14,0,21.43,1.64,3.93
"Riverside","East","Out-of-Zone",11,0,9.09,0.82,3.98
"South","Riverside","Out-of-Zone",16,0,12.5,1,4.16
"South","South","In-Zone",14,0,28.57,1.36,4.11
