"delivery_id","delivery_status","manual_route_override_count","proof_of_completion_missing","customer_rating_post_delivery","service_type","priority_level","complaint_presence","incident_presence"
"DL00012","Failed",3,0,NA,"Business","Medium","No Complaint Logged","No Incident Logged"
"DL00558","Failed",1,0,1,"Retail","High","Complaint Exists","No Incident Logged"
"DL00536","Failed",2,0,1.07,"Business","Medium","No Complaint Logged","No Incident Logged"
"DL00057","Failed",0,0,1.22,"Retail","Medium","No Complaint Logged","Incident Exists"
"DL00862","Failed",1,0,1.41,"Passenger","Medium","Complaint Exists","No Incident Logged"
"DL00862","Failed",1,0,1.41,"Passenger","Medium","Complaint Exists","No Incident Logged"
"DL00862","Failed",1,0,1.41,"Passenger","Medium","Complaint Exists","No Incident Logged"
"DL00187","Failed",1,0,1.53,"Medical","High","No Complaint Logged","Incident Exists"
"DL00839","Failed",2,1,1.65,"Parcel","Medium","No Complaint Logged","No Incident Logged"
"DL00783","Failed",2,1,1.67,"Passenger","Low","No Complaint Logged","Incident Exists"
"DL00040","Failed",1,0,1.68,"Retail","Low","Complaint Exists","No Incident Logged"
"DL00694","Failed",0,1,1.68,"Parcel","Medium","Complaint Exists","Incident Exists"
"DL00119","Failed",3,0,1.71,"Business","Low","Complaint Exists","No Incident Logged"
"DL00823","Failed",1,0,1.91,"Passenger","Low","No Complaint Logged","No Incident Logged"
"DL00559","Failed",2,0,1.92,"Parcel","Low","No Complaint Logged","No Incident Logged"
"DL00657","Failed",2,0,1.95,"Passenger","Medium","No Complaint Logged","No Incident Logged"
"DL00492","Failed",0,0,1.99,"Business","Medium","No Complaint Logged","No Incident Logged"
"DL00166","Failed",0,0,2.08,"Passenger","Low","Complaint Exists","No Incident Logged"
"DL00166","Failed",0,0,2.08,"Passenger","Low","Complaint Exists","No Incident Logged"
"DL00725","Failed",1,0,2.1,"Business","Medium","No Complaint Logged","Incident Exists"
"DL00725","Failed",1,0,2.1,"Business","Medium","No Complaint Logged","Incident Exists"
"DL00378","Failed",0,0,2.14,"Retail","Low","No Complaint Logged","Incident Exists"
"DL00118","Failed",3,0,2.16,"Passenger","High","No Complaint Logged","No Incident Logged"
"DL00736","Failed",0,0,2.19,"Passenger","Medium","No Complaint Logged","No Incident Logged"
"DL00931","Failed",1,0,2.2,"Passenger","Medium","Complaint Exists","No Incident Logged"
"DL00931","Failed",1,0,2.2,"Passenger","Medium","Complaint Exists","No Incident Logged"
"DL00026","Failed",2,0,2.23,"Passenger","High","Complaint Exists","No Incident Logged"
"DL00026","Failed",2,0,2.23,"Passenger","High","Complaint Exists","No Incident Logged"
"DL00377","Failed",4,0,2.23,"Medical","Medium","Complaint Exists","No Incident Logged"
"DL00103","Failed",2,0,2.24,"Passenger","Medium","Complaint Exists","No Incident Logged"
"DL00352","Failed",0,0,2.25,"Medical","Medium","Complaint Exists","No Incident Logged"
"DL00352","Failed",0,0,2.25,"Medical","Medium","Complaint Exists","No Incident Logged"
"DL00609","Failed",3,0,2.25,"Business","Medium","No Complaint Logged","No Incident Logged"
"DL00825","Failed",0,0,2.26,"Retail","High","Complaint Exists","No Incident Logged"
"DL00825","Failed",0,0,2.26,"Retail","High","Complaint Exists","No Incident Logged"
"DL00838","Failed",1,1,2.31,"Business","High","No Complaint Logged","No Incident Logged"
"DL00482","Failed",1,1,2.32,"Retail","High","Complaint Exists","No Incident Logged"
"DL00230","Failed",1,0,2.34,"Retail","Medium","No Complaint Logged","No Incident Logged"
"DL00921","Failed",0,0,2.34,"Business","Medium","Complaint Exists","Incident Exists"
"DL00921","Failed",0,0,2.34,"Business","Medium","Complaint Exists","Incident Exists"
"DL00921","Failed",0,0,2.34,"Business","Medium","Complaint Exists","Incident Exists"
"DL00906","Failed",1,1,2.35,"Passenger","Medium","Complaint Exists","No Incident Logged"
"DL00831","Failed",0,1,2.38,"Passenger","Medium","Complaint Exists","No Incident Logged"
"DL00582","Failed",2,0,2.4,"Retail","Medium","Complaint Exists","No Incident Logged"
"DL00189","Failed",1,0,2.43,"Medical","High","Complaint Exists","Incident Exists"
"DL00189","Failed",1,0,2.43,"Medical","High","Complaint Exists","Incident Exists"
"DL00189","Failed",1,0,2.43,"Medical","High","Complaint Exists","Incident Exists"
"DL00342","Failed",0,0,2.47,"Retail","High","Complaint Exists","No Incident Logged"
