"customer_id","customer_type","home_zone","loyalty_score","account_status","total_orders","failed_deliveries","total_complaints","total_compensation","avg_rating"
"C0351","Enterprise","Central",48.6,"Active",3,2,2,306.06,3.74
"C0372","Consumer","West",26.2,"Active",4,3,3,287.56,3.46
"C0368","Consumer","North",49.5,"Active",3,4,4,232.53,4.11
"C0023","Consumer","South",73.1,"Active",5,2,2,221.2,3.74
"C0618","Consumer","Airport",68.4,"Active",4,2,2,201.28,3.73
"C0186","Consumer","East",57.5,"Dormant",3,2,1,180.9,3.23
"C0597","Consumer","North",57.2,"Active",3,2,2,156.33,3.87
"C0282","Consumer","Riverside",71.4,"Active",2,3,3,149.26,3.13
"C0529","SME","Riverside",43.2,"Active",4,2,2,149.12,3.82
"C0339","Consumer","South",46.6,"Active",3,2,2,149.07,3.58
"C0476","Consumer","North",66,"Active",4,2,2,118,3.74
"C0533","Consumer","South",46.9,"Active",4,2,1,116.44,4.38
"C0480","Enterprise","North",67.6,"Dormant",3,2,2,116.28,3.91
"C0573","SME","Airport",57.3,"Active",1,3,3,111.42,1.41
"C0508","Consumer","East",64.2,"Active",3,2,2,93.78,3.73
"C0110","Consumer","East",NA,"Active",2,3,3,88.28,3.49
"C0056","Consumer","North",71.1,"Active",2,2,2,84.12,2.97
"C0549","Consumer","Airport",42.2,"Active",2,2,2,78.16,3.86
"C0004","Consumer","Central",32.5,"Active",2,2,2,71.16,4.26
"C0583","Consumer","Airport",84.2,"Dormant",1,2,2,68.44,3.69
"C0578","SME","Central",74.1,"Active",3,2,2,67.68,3.93
"C0032","Consumer","West",85,"Dormant",2,2,2,54.12,3.37
"C0178","Consumer","East",58,"Active",2,2,2,41.38,2.86
"C0054","Consumer","West",42.4,"Active",3,2,2,37.23,3.58
"C0285","Consumer","Riverside",27.9,"Active",1,2,2,28.99,5
