"vehicle_type","maintenance_status","incident_type","incident_severity","total_incidents","avg_resolution_hours","open_incidents","escalated_incidents"
"CargoVan","Active","RouteDeviation","Low",5,15.22,2,0
"EV","Active","ProofMissing","Medium",5,7.23,1,0
"EV","Active","RouteDeviation","Low",5,16.32,1,1
"CargoVan","Active","AppSyncError","Medium",4,9.4,0,0
"CargoVan","Active","ProofMissing","Medium",4,18.85,2,0
"EV","Active","BatteryAlert","Medium",4,9.22,2,0
"EV","Active","CustomerNoShow","Medium",4,12.43,1,0
"EV","Scheduled","VehicleFault","Medium",4,1.52,1,0
"Hybrid","Active","VehicleFault","High",4,17.52,1,2
"Hybrid","InRepair","BatteryAlert","Medium",4,11.6,1,2
"CargoVan","Active","ProofMissing","Low",3,15.13,1,1
"CargoVan","Active","RouteDeviation","Medium",3,14.03,2,0
"CargoVan","Active","VehicleFault","Medium",3,5.13,1,0
"CargoVan","InRepair","CustomerNoShow","Medium",3,11.63,1,1
"Diesel","InRepair","AppSyncError","Medium",3,18.63,0,0
"EV","Active","AppSyncError","High",3,10.97,1,0
"EV","Active","CustomerNoShow","Critical",3,11.6,2,0
"EV","Active","CustomerNoShow","Low",3,10.57,1,0
"EV","Active","ProofMissing","High",3,4.93,1,0
"EV","Active","TemperatureIssue","Medium",3,17.07,1,0
"EV","Active","VehicleFault","Low",3,9.6,1,0
"EV","Active","VehicleFault","Medium",3,7.7,2,0
"Hybrid","Active","CustomerNoShow","Low",3,16.4,1,0
"Hybrid","Active","ProofMissing","High",3,2.77,1,1
"CargoVan","Active","BatteryAlert","Medium",2,5,1,0
"CargoVan","Active","CustomerNoShow","High",2,18,0,0
"CargoVan","Active","CustomerNoShow","Low",2,9.45,0,0
"CargoVan","Active","ProofMissing","High",2,9,1,0
"CargoVan","Active","RouteDeviation","High",2,19.35,2,0
"CargoVan","InRepair","BatteryAlert","High",2,15.15,0,2
"CargoVan","InRepair","BatteryAlert","Medium",2,18.25,1,0
"CargoVan","InRepair","CustomerNoShow","High",2,18,1,0
"CargoVan","InRepair","RouteDeviation","Medium",2,10.5,0,1
"CargoVan","Scheduled","RouteDeviation","Critical",2,15.9,1,0
"Diesel","Active","CustomerNoShow","Low",2,15.1,1,1
"Diesel","Active","ProofMissing","High",2,4.1,0,0
"Diesel","Active","TemperatureIssue","Medium",2,14.6,1,0
"Diesel","InRepair","AppSyncError","Low",2,5,0,1
"Diesel","InRepair","BatteryAlert","Low",2,9.9,1,0
"Diesel","InRepair","BatteryAlert","Medium",2,17.7,1,0
"Diesel","InRepair","SafetyNearMiss","Medium",2,15.25,1,0
"Diesel","InRepair","TemperatureIssue","Medium",2,16.35,0,1
"EV","Active","AppSyncError","Low",2,12.45,1,0
"EV","Active","AppSyncError","Medium",2,12.3,0,1
"EV","Active","BatteryAlert","Low",2,6.25,1,0
"EV","Active","CustomerNoShow","High",2,8.55,0,0
"EV","Active","ProofMissing","Low",2,4.5,0,0
"EV","Active","RouteDeviation","High",2,20.9,1,1
"EV","Active","SafetyNearMiss","Medium",2,14.2,1,1
"EV","InRepair","AppSyncError","Low",2,19.4,1,0
"EV","InRepair","BatteryAlert","High",2,16.1,0,0
"EV","InRepair","ProofMissing","Low",2,27.6,0,0
"EV","InRepair","RouteDeviation","High",2,5.75,1,0
"EV","Scheduled","RouteDeviation","High",2,17.65,1,0
"EV","Scheduled","RouteDeviation","Low",2,17.1,1,0
"EV","Scheduled","TemperatureIssue","Low",2,18,0,0
"EV","Scheduled","TemperatureIssue","Medium",2,8.45,0,0
"Hybrid","Active","AppSyncError","Medium",2,4.85,1,0
"Hybrid","Active","BatteryAlert","Medium",2,18.1,0,0
"Hybrid","Active","CustomerNoShow","High",2,10.65,1,0
"Hybrid","Active","CustomerNoShow","Medium",2,11.75,0,0
"Hybrid","Active","ProofMissing","Low",2,11.15,0,0
"Hybrid","Active","VehicleFault","Medium",2,2.6,0,0
"Hybrid","InRepair","BatteryAlert","Low",2,5.8,0,0
"Hybrid","InRepair","ProofMissing","Low",2,9.25,0,0
"Hybrid","InRepair","TemperatureIssue","Critical",2,12.45,0,0
"Hybrid","InRepair","TemperatureIssue","High",2,6.65,0,0
"Hybrid","Scheduled","CustomerNoShow","Medium",2,17.5,0,0
"Hybrid","Scheduled","RouteDeviation","Low",2,15.1,0,0
"CargoVan","Active","AppSyncError","Low",1,19.9,1,0
"CargoVan","Active","ProofMissing","Critical",1,8.2,0,0
"CargoVan","Active","SafetyNearMiss","High",1,13.9,0,1
"CargoVan","Active","SafetyNearMiss","Low",1,6.5,1,0
"CargoVan","Active","TemperatureIssue","Critical",1,2.7,0,0
"CargoVan","Active","TemperatureIssue","High",1,7.1,0,0
"CargoVan","Active","TemperatureIssue","Medium",1,20.1,1,0
"CargoVan","Active","VehicleFault","High",1,NA,0,0
"CargoVan","InRepair","CustomerNoShow","Low",1,25.3,1,0
"CargoVan","InRepair","ProofMissing","Low",1,11.8,0,0
"CargoVan","InRepair","ProofMissing","Medium",1,5.2,0,0
"CargoVan","InRepair","RouteDeviation","High",1,16.8,0,0
"CargoVan","InRepair","TemperatureIssue","Medium",1,23.1,0,0
"CargoVan","InRepair","VehicleFault","Critical",1,2.8,1,0
