"service_type","priority_level","total_deliveries","avg_order_value","avg_delivery_cost","avg_gross_margin","total_revenue","total_cost","total_gross_margin","failed_count","cost_on_failed_deliveries"
"Medical","Critical",10,71.76,11.15,60.6,717.56,111.54,606.02,1,18.12
"Medical","Low",37,79.91,12.82,67.09,2956.73,474.26,2482.47,3,24.43
"Retail","Critical",18,79.71,11.71,68,1434.84,210.75,1224.09,0,0
"Retail","Low",57,83.44,13.16,70.28,4756.23,750.32,4005.91,7,77.28
"Parcel","Critical",17,82.1,11,71.1,1395.78,187.02,1208.76,0,0
"Parcel","Low",62,84.72,13.51,71.21,5252.84,837.91,4414.93,6,73.41
"Retail","High",52,84.45,12.4,72.05,4391.38,644.99,3746.39,8,122.77
"Parcel","Medium",89,88.99,13.31,75.68,7920.12,1184.88,6735.24,14,184.68
"Medical","High",21,87.82,11.85,75.97,1844.21,248.77,1595.44,4,45.31
"Retail","Medium",97,91.37,13.4,77.96,8862.41,1300.21,7562.2,13,195.71
"Business","High",35,92.77,13.37,79.4,3246.81,467.8,2779.01,6,77.64
"Passenger","Medium",105,93.44,12.65,80.79,9811.26,1328.58,8482.68,13,181.92
"Medical","Medium",40,95.66,13.62,82.04,3826.38,544.91,3281.47,8,113.07
"Business","Low",26,95.6,12.71,82.88,2485.52,330.53,2154.99,3,52.94
"Passenger","Low",77,95.6,12.15,83.45,7360.92,935.21,6425.71,15,189.7
"Parcel","High",62,99.46,12.89,86.57,6166.7,799.2,5367.5,5,60.26
"Business","Medium",55,100.48,13.41,87.06,5526.29,737.81,4788.48,15,189.07
"Passenger","Critical",19,100.59,10.97,89.62,1911.22,208.5,1702.72,1,9.05
"Business","Critical",10,102.06,11.98,90.08,1020.61,119.77,900.84,1,16.82
"Passenger","High",61,104.59,12.73,91.86,6379.96,776.27,5603.69,9,103.35
