"device_type","zone_context","total_events","unlinked_events","avg_latency_ms","total_failed_events","avg_failure_rate_pct"
"Android","Riverside",34,9,425.77,5,18.75
"iOS","Airport",38,8,569.98,2,17.14
"Web","Central",9,4,525.25,2,16.67
"Web","West",15,2,423.43,1,16.67
"Android","North",51,11,414.79,5,14.38
"Web","Airport",16,4,644.64,1,14.29
"Web","North",14,1,410.24,1,14.29
"Android","Airport",33,8,494.12,1,12.5
"iOS","North",28,5,468.83,1,12.5
"iOS","Central",31,6,470.88,3,11.46
"Android","East",46,13,474.28,2,10.71
"Android","West",47,5,498.74,3,9.38
