"incident_type","incident_severity","total_incidents","avg_resolution_hours","total_open","total_escalated","unresolved_rate_pct"
"TemperatureIssue","Medium",13,17.33,3,2,38.46
"AppSyncError","Low",9,16.77,4,1,55.56
"RouteDeviation","Low",17,16.28,4,2,35.29
"BatteryAlert","High",8,15.78,2,3,62.5
"CustomerNoShow","Medium",13,15.5,2,1,23.08
"CustomerNoShow","High",11,15.24,2,2,36.36
"CustomerNoShow","Low",15,14.85,6,1,46.67
"TemperatureIssue","Low",6,14.8,0,2,33.33
"VehicleFault","Critical",3,14.57,1,0,33.33
"ProofMissing","Low",13,14.35,1,1,15.38
"RouteDeviation","Critical",4,14.2,2,1,75
"BatteryAlert","Critical",2,12.8,1,0,50
"SafetyNearMiss","Medium",6,12.56,2,2,66.67
"SafetyNearMiss","Critical",1,12.1,0,1,100
"ProofMissing","Critical",6,12.08,2,1,50
"AppSyncError","Medium",15,12.07,2,1,20
"RouteDeviation","High",12,11.63,6,1,58.33
"BatteryAlert","Medium",18,11.51,6,2,44.44
"CustomerNoShow","Critical",5,11.27,2,0,40
"VehicleFault","High",10,11.02,4,2,60
"AppSyncError","Critical",1,10.3,0,0,0
"AppSyncError","High",6,9.96,1,1,33.33
"BatteryAlert","Low",8,9.37,2,0,25
"VehicleFault","Low",8,9.07,3,0,37.5
"ProofMissing","Medium",15,8.78,5,2,46.67
"RouteDeviation","Medium",10,8.77,3,1,40
"VehicleFault","Medium",16,7.57,6,0,37.5
"TemperatureIssue","High",5,7.51,0,2,40
"SafetyNearMiss","High",4,5.85,0,1,25
"ProofMissing","High",12,5.5,4,1,41.67
"TemperatureIssue","Critical",5,5.31,0,0,0
"SafetyNearMiss","Low",3,5.25,1,1,66.67
