"hub_name","delivery_status","total_deliveries","total_overrides","avg_overrides_per_delivery","avg_route_km","avg_cost"
"Airport Hub","Delayed",16,25,1.56,15.21,13.05
"Airport Hub","Failed",10,13,1.3,16.94,13.8
"Central Core","Failed",13,24,1.85,13.55,13.77
"Central Core","Delayed",11,21,1.91,15.03,12.81
"East Dock","Delayed",12,22,1.83,14.48,12.46
"East Dock","Failed",7,12,1.71,13.73,13.49
"Midtown Relay","Failed",18,29,1.61,15,13.07
"Midtown Relay","Delayed",15,22,1.47,15.42,13.34
"North Exchange","Delayed",17,29,1.71,15.04,12.87
"North Exchange","Failed",11,19,1.73,12.33,12.45
"Riverside Hub","Delayed",16,39,2.44,16.73,14.56
"Riverside Hub","Failed",9,15,1.67,11.44,11.85
"South Link","Delayed",19,29,1.53,15.35,12.06
"South Link","Failed",6,9,1.5,9.68,11.86
"West Gate","Delayed",18,30,1.67,19.12,15.36
"West Gate","Failed",12,16,1.33,12.52,12.99
