"complaint_type","delivery_status","total_complaints","avg_resolution_days","avg_compensation","avg_rating","missing_proof_count"
"Damage","Failed",1,21,35.58,4.11,0
"Damage","Delayed",1,16,15.85,3.8,0
"DriverBehaviour","Failed",4,13,28.41,2.89,1
"AppIssue","Delayed",6,11.83,24.95,3.36,1
"Damage","OnTime",4,11.75,35.8,4.19,0
"DriverBehaviour","Delayed",5,11.6,33.86,3.81,2
"SupportExperience","Failed",3,11.33,35.85,3.41,1
"AppIssue","Failed",4,10.25,25.3,3.21,1
"Delay","Failed",9,9.44,26.07,3.33,1
"AppIssue","OnTime",17,9.41,20.47,4.27,0
"SupportExperience","Delayed",2,8.5,26.13,2.72,0
"MissedPickup","Failed",7,8.43,26.68,3.77,0
"MissedPickup","OnTime",23,8.39,22.79,4.42,0
"Billing","OnTime",4,7.5,30.24,4.67,0
"Delay","OnTime",31,7.35,22.34,4.34,0
"Delay","Delayed",17,7.29,17.01,3,10
"SupportExperience","OnTime",9,7.11,16.44,4.11,0
"DriverBehaviour","OnTime",26,7.08,20.93,4.26,0
"Billing","Delayed",3,7,12,2.35,1
"Billing","Failed",2,7,39.16,1.41,0
"MissedPickup","Delayed",8,4.38,18.54,3.56,2
