"complaint_type","severity","total_complaints","total_compensation_paid","avg_compensation","avg_resolution_days","compensation_per_day"
"Delay","Medium",47,964.87,20.53,5.96,161.89
"MissedPickup","Medium",34,644.8,18.96,6.24,103.33
"DriverBehaviour","Medium",28,476.29,17.01,5.32,89.53
"MissedPickup","High",16,689.11,43.07,11.56,59.61
"AppIssue","Medium",22,386.58,17.57,7.86,49.18
"AppIssue","Low",12,185.55,15.46,4.67,39.73
"Delay","High",14,511.54,36.54,13.36,38.29
"SupportExperience","Medium",11,224.13,20.38,6.09,36.8
"DriverBehaviour","High",12,460.63,38.39,13.5,34.12
"Delay","Low",19,220.43,11.6,6.79,32.46
