"service_type","priority_level","total_failed_deliveries","completely_invisible_failures","invisibility_rate_pct","avg_rating","missing_proof_count"
"Business","Critical",1,1,100,4.06,0
"Medical","Critical",1,1,100,4.13,1
"Parcel","Medium",15,9,60,2.9,4
"Business","High",6,3,50,3.03,1
"Parcel","High",6,3,50,3.58,0
"Business","Low",3,1,33.33,3.05,1
"Passenger","High",15,5,33.33,3.43,2
"Passenger","Low",17,5,29.41,3.1,2
"Parcel","Low",7,2,28.57,3.02,2
"Passenger","Medium",18,5,27.78,2.52,4
"Retail","Medium",15,4,26.67,3.3,5
"Business","Medium",21,5,23.81,2.89,0
"Retail","High",9,2,22.22,2.48,2
"Retail","Low",10,2,20,3.08,4
"Medical","High",7,1,14.29,2.42,0
"Medical","Medium",10,1,10,3.36,2
"Medical","Low",5,0,0,3.38,3
"Passenger","Critical",1,0,0,2.87,0
